name,price_old,price_new,warranty,CPU,Ram_size,Ram_type,Hard_Drive,screen,resolution,graphics,size_weight,material,os,year,battery
Laptop Acer Swift 5 SF514 53T 740R i7 8565U/8GB/256GB/Touch/Win10 (NX.H7KSV.002),9.480.000₫,27.990.000₫,1 tháng tại TGDĐ,Intel Core i7 Coffee Lake - 8565U,8 GB,DDR4 (Onboard),256 GB SSD NVMe PCIe,14 inch,Full HD (1920 x 1080),Card tích hợp - Intel UHD Graphics 620,Dài 329 mm - Rộng 228 mm - Dày 14.9 mm - Nặng 0.94 kg,Nhôm - Magie,Windows 10 Home SL,2018,2-cell Li-Polymer
Laptop Acer Swift 5 SF514 53T 51EX i5 8265U/8GB/256GB/Touch/Win10 (NX.H7KSV.001),8.130.000₫,23.990.000₫,1 tháng tại TGDĐ,Intel Core i5 Coffee Lake - 8265U,8 GB,DDR4 (Onboard),256 GB SSD NVMe PCIe,14 inch,Full HD (1920 x 1080),Card tích hợp - Intel UHD Graphics 620,Dài 329 mm - Rộng 228 mm - Dày 14.9 mm - Nặng 0.97 kg,Nhôm - Magie,Windows 10 Home SL,2018,2-cell Li-Polymer
Laptop Acer Swift 7 SF714 52T 76C6 i7 8500Y/16GB/512GB/Touch/Túi/Win10 (NX.H98SV.001),16.940.000₫,49.990.000₫,1 tháng tại TGDĐ,Intel Core i7 Coffee Lake - 8500Y,16 GB,DDR3 (Onboard),512 GB SSD NVMe PCIe,14 inch,Full HD (1920 x 1080),Card tích hợp - Intel UHD Graphics 615,Dài Dài 317.9 mm - Rộng Rộng 191.5 - Dày Dày 9.95 mm - Nặng 890 gram,Nhôm - Magie,Windows 10 Home SL,2019,3-cell Li-ion
Laptop Acer Switch 5 SW512 52P 34RS i3 7130U/4GB/128GB/Touch/Pen/Win10 (NT.LDTSV.004),7.620.000₫,22.490.000₫,1 tháng tại TGDĐ,Intel Core i3 Kabylake - 7130U,4 GB,DDR3L,128 GB SSD M2 PCIe,12 inch,2K (2160 x 1440),Card tích hợp - Intel UHD Graphics 620,Dài Dài 292.9 mm - Rộng Rộng 201.8 mm - Dày Dày 9.6 mm - Nặng 0.92 kg,Vỏ kim loại,Windows 10 Home SL,2019,2-cell Li-ion
Laptop Acer Swift 3 SF315 52 50T9 i5 8250U/8GB/256GB/Win10 (NX.GZBSV.002),5.760.000₫,16.990.000₫,1 tháng tại TGDĐ,Intel Core i5 Coffee Lake - 8250U,8 GB,DDR4 (Onboard +1 khe),"Hỗ trợ khe cắm HDD SATA
256 GB SSD M.2 SATA 3",15.6 inch,Full HD (1920 x 1080),Card tích hợp - Intel UHD Graphics 620,Dài Dài 359 mm - Rộng Rộng 243 mm - Dày Dày 16.9 mm - Nặng 1.7 kg,Vỏ kim loại,Windows 10 Home SL,2018,"Li-Polymer, 80 Wh"
Laptop CHUWI CoreBook X i5 8259U/16GB/512GB/Win10,5.580.000₫,15.490.000₫,1 tháng tại TGDĐ,Intel Core i5 Coffee Lake - 8259U,16 GB,DDR4 (Onboard),"512 GB SSD
Hỗ trợ khe cắm SSD M.2 SATA3 (nâng cấp tối đa 1 TB)",14 inch,2.2K (2240x1400),Card tích hợp - Intel Iris Plus Graphics 655,Dài 310 mm - Rộng 229.5 mm - Dày 20.6 mm - Nặng 1.5 kg,Vỏ kim loại,Windows 10 Home SL,2021,46.2 Wh
Laptop CHUWI CoreBook X i5 8259U/16GB/512GB/Win10,5.680.000₫,15.490.000₫,2.5 tháng chính hãng,Intel Core i5 Coffee Lake - 8259U,16 GB,DDR4 (Onboard),"512 GB SSD
Hỗ trợ khe cắm SSD M.2 SATA3 (nâng cấp tối đa 1 TB)",14 inch,2.2K (2240x1400),Card tích hợp - Intel Iris Plus Graphics 655,Dài 310 mm - Rộng 229.5 mm - Dày 20.6 mm - Nặng 1.5 kg,Vỏ kim loại,Windows 10 Home SL,2021,46.2 Wh
Laptop CHUWI CoreBook X i5 8259U/16GB/512GB/Win10,5.710.000₫,15.490.000₫,3 tháng chính hãng,Intel Core i5 Coffee Lake - 8259U,16 GB,DDR4 (Onboard),"512 GB SSD
Hỗ trợ khe cắm SSD M.2 SATA3 (nâng cấp tối đa 1 TB)",14 inch,2.2K (2240x1400),Card tích hợp - Intel Iris Plus Graphics 655,Dài 310 mm - Rộng 229.5 mm - Dày 20.6 mm - Nặng 1.5 kg,Vỏ kim loại,Windows 10 Home SL,2021,46.2 Wh
Laptop CHUWI CoreBook X i5 8259U/16GB/512GB/Win10,5.740.000₫,15.490.000₫,3.5 tháng chính hãng,Intel Core i5 Coffee Lake - 8259U,16 GB,DDR4 (Onboard),"512 GB SSD
Hỗ trợ khe cắm SSD M.2 SATA3 (nâng cấp tối đa 1 TB)",14 inch,2.2K (2240x1400),Card tích hợp - Intel Iris Plus Graphics 655,Dài 310 mm - Rộng 229.5 mm - Dày 20.6 mm - Nặng 1.5 kg,Vỏ kim loại,Windows 10 Home SL,2021,46.2 Wh
Laptop CHUWI CoreBook X i5 8259U/16GB/512GB/Win10,5.770.000₫,15.490.000₫,4 tháng chính hãng,Intel Core i5 Coffee Lake - 8259U,16 GB,DDR4 (Onboard),"512 GB SSD
Hỗ trợ khe cắm SSD M.2 SATA3 (nâng cấp tối đa 1 TB)",14 inch,2.2K (2240x1400),Card tích hợp - Intel Iris Plus Graphics 655,Dài 310 mm - Rộng 229.5 mm - Dày 20.6 mm - Nặng 1.5 kg,Vỏ kim loại,Windows 10 Home SL,2021,46.2 Wh
